client,insight_category,insight_type,priority,impact_level,station,daypart,metric_type,finding_description,recommendation,action_required,confidence,generated_date
OPOS,key_finding,executive_summary,1,High,,,overall_performance,Strong engagement: 25.8 visits per TV spot,Key insight: Strong engagement: 25.8 visits per TV spot,monitor_and_leverage,High,2025-06-27
OPOS,key_finding,executive_summary,2,High,,,overall_performance,"Top station LMN generated 7,201 visits from 168 spots","Key insight: Top station LMN generated 7,201 visits from 168 spots",monitor_and_leverage,High,2025-06-27
OPOS,key_finding,executive_summary,3,High,,,overall_performance,WK daypart shows highest efficiency at 46.1 visits per spot,Key insight: WK daypart shows highest efficiency at 46.1 visits per spot,monitor_and_leverage,High,2025-06-27
OPOS,key_optimization,strategic_recommendation,1,High,,,station_optimization,Reallocate budget from low-performing stations to LMN,Reallocate budget from low-performing stations to LMN,implement_immediately,High,2025-06-27
OPOS,key_optimization,strategic_recommendation,2,High,,,daypart_optimization,Shift budget to WK dayparts,Shift budget to WK dayparts,implement_immediately,High,2025-06-27
OPOS,station_analysis,station_optimization,1,High,LMN,,high_volume_high_efficiency,LMN is a top_performer with 42.9 visits per spot,"Scale LMN immediately - proven high-volume, high-efficiency performer",scale_immediately,High,2025-06-27
OPOS,station_analysis,station_optimization,1,High,LIFE,,high_volume_high_efficiency,LIFE is a top_performer with 45.0 visits per spot,"Scale LIFE immediately - proven high-volume, high-efficiency performer",scale_immediately,High,2025-06-27
OPOS,station_analysis,station_optimization,1,High,WE,,high_volume_high_efficiency,WE is a above_average with 22.2 visits per spot,"Scale WE immediately - proven high-volume, high-efficiency performer",scale_immediately,High,2025-06-27
OPOS,station_analysis,station_optimization,1,High,TLC,,high_volume_high_efficiency,TLC is a top_performer with 42.0 visits per spot,"Scale TLC immediately - proven high-volume, high-efficiency performer",scale_immediately,High,2025-06-27
OPOS,station_analysis,station_optimization,3,Medium,TBS,,standard_performance,TBS is a below_average with 11.4 visits per spot,Monitor TBS performance and test optimization strategies,monitor,High,2025-06-27
OPOS,station_analysis,station_optimization,3,Medium,GAME,,standard_performance,GAME is a above_average with 21.0 visits per spot,Monitor GAME performance and test optimization strategies,monitor,High,2025-06-27
OPOS,station_analysis,station_optimization,3,Medium,AEN,,standard_performance,AEN is a above_average with 35.1 visits per spot,Monitor AEN performance and test optimization strategies,monitor,High,2025-06-27
OPOS,station_analysis,station_optimization,3,Medium,AMC,,standard_performance,AMC is a below_average with 12.5 visits per spot,Monitor AMC performance and test optimization strategies,monitor,High,2025-06-27
OPOS,station_analysis,station_optimization,3,Medium,OXY,,standard_performance,OXY is a top_performer with 35.3 visits per spot,Monitor OXY performance and test optimization strategies,monitor,Medium,2025-06-27
OPOS,station_analysis,station_optimization,3,Medium,IDISC,,standard_performance,IDISC is a below_average with 9.5 visits per spot,Monitor IDISC performance and test optimization strategies,monitor,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,1,High,,WK,prime_time_efficiency,WK daypart shows excellent efficiency with 46.1 visits per spot,Immediately increase WK budget - highest efficiency daypart,scale_immediately,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,1,High,,EF,prime_time_efficiency,EF daypart shows excellent efficiency with 43.1 visits per spot,Immediately increase EF budget - highest efficiency daypart,scale_immediately,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,1,High,,DA,prime_time_efficiency,DA daypart shows excellent efficiency with 42.8 visits per spot,Immediately increase DA budget - highest efficiency daypart,scale_immediately,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,1,High,,EM,strong_efficiency,EM daypart shows good efficiency with 40.1 visits per spot,Immediately increase EM budget - highest efficiency daypart,increase_investment,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,1,High,,PR,strong_efficiency,PR daypart shows good efficiency with 33.3 visits per spot,Immediately increase PR budget - highest efficiency daypart,increase_investment,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,2,High,,ON,average_efficiency,ON daypart shows fair efficiency with 9.8 visits per spot,Optimize ON targeting and creative rotation,optimize,High,2025-06-27
OPOS,daypart_analysis,daypart_optimization,3,Medium,,LF,average_efficiency,LF daypart shows fair efficiency with 5.9 visits per spot,Monitor LF trends and consider budget reallocation,optimize,Low,2025-06-27
OPOS,combination_analysis,combination_optimization,1,High,LMN,WK,golden_combination,LMN + WK is a golden combination with 46.1 visits per spot,Scale LMN + WK immediately - golden combination identified,scale_immediately,High,2025-06-27
OPOS,combination_analysis,combination_optimization,1,High,LMN,EF,golden_combination,LMN + EF is a golden combination with 45.5 visits per spot,Scale LMN + EF immediately - golden combination identified,scale_immediately,High,2025-06-27
OPOS,combination_analysis,combination_optimization,1,High,LIFE,DA,golden_combination,LIFE + DA is a golden combination with 45.0 visits per spot,Scale LIFE + DA immediately - golden combination identified,scale_immediately,High,2025-06-27
OPOS,combination_analysis,combination_optimization,1,High,TLC,EM,golden_combination,TLC + EM is a golden combination with 42.0 visits per spot,Scale TLC + EM immediately - golden combination identified,scale_immediately,High,2025-06-27
OPOS,combination_analysis,combination_optimization,1,High,WE,PR,golden_combination,WE + PR is a golden combination with 41.8 visits per spot,Scale WE + PR immediately - golden combination identified,scale_immediately,High,2025-06-27
OPOS,combination_analysis,combination_optimization,1,High,WE,EF,golden_combination,WE + EF is a golden combination with 38.7 visits per spot,Scale WE + EF immediately - golden combination identified,scale_immediately,Medium,2025-06-27
OPOS,combination_analysis,combination_optimization,2,High,AEN,DA,strong_combination,AEN + DA is a strong combination with 36.5 visits per spot,Increase investment in AEN + DA - proven strong performance,increase_investment,Medium,2025-06-27
OPOS,combination_analysis,combination_optimization,2,High,OXY,EM,strong_combination,OXY + EM is a strong combination with 35.3 visits per spot,Increase investment in OXY + EM - proven strong performance,increase_investment,Medium,2025-06-27
OPOS,combination_analysis,combination_optimization,2,High,USA,DA,strong_combination,USA + DA is a strong combination with 34.5 visits per spot,Increase investment in USA + DA - proven strong performance,increase_investment,Low,2025-06-27
OPOS,combination_analysis,combination_optimization,2,High,SUNDA,PR,strong_combination,SUNDA + PR is a strong combination with 33.9 visits per spot,Increase investment in SUNDA + PR - proven strong performance,increase_investment,Medium,2025-06-27
OPOS,budget_opportunity,reallocation_recommendation,1,High,BRAV -> LIFE,,budget_reallocation,Move budget from BRAV to LIFE for 390 additional visits,Reallocate 10 spots from BRAV to LIFE,reallocate_budget,High,2025-06-27
OPOS,budget_opportunity,reallocation_recommendation,2,High,FOOD -> LIFE,,budget_reallocation,Move budget from FOOD to LIFE for 507 additional visits,Reallocate 12 spots from FOOD to LIFE,reallocate_budget,High,2025-06-27
OPOS,budget_opportunity,reallocation_recommendation,3,High,BRAV -> LMN,,budget_reallocation,Move budget from BRAV to LMN for 368 additional visits,Reallocate 10 spots from BRAV to LMN,reallocate_budget,High,2025-06-27
OPOS,budget_opportunity,reallocation_recommendation,4,High,FOOD -> LMN,,budget_reallocation,Move budget from FOOD to LMN for 481 additional visits,Reallocate 12 spots from FOOD to LMN,reallocate_budget,High,2025-06-27
