client,insight_category,insight_type,priority,impact_level,station,daypart,metric_type,finding_description,recommendation,action_required,confidence,trend_context,time_based,generated_date
OPOS,key_finding,executive_summary,1,High,,,overall_performance,"Revenue acceleration detected: $97 per spot with 37.3% recent improvement, generating $70,378 total","Key insight: Revenue acceleration detected: $97 per spot with 37.3% recent improvement, generating $70,378 total",monitor_and_leverage,High,significantly_improved,no,2025-06-30
OPOS,key_finding,executive_summary,2,High,,,overall_performance,"Scale opportunity: LMN delivering 6,432 visits from 148 spots - prime candidate for budget reallocation","Key insight: Scale opportunity: LMN delivering 6,432 visits from 148 spots - prime candidate for budget reallocation",monitor_and_leverage,High,significantly_improved,no,2025-06-30
OPOS,key_finding,executive_summary,3,High,,,overall_performance,High-quality attribution tracking enables precise optimization across 723 spots,Key insight: High-quality attribution tracking enables precise optimization across 723 spots,monitor_and_leverage,High,significantly_improved,no,2025-06-30
OPOS,station_analysis,station_optimization,1,High,LMN,,high_volume_high_efficiency,LMN shows improving trend: 31.4 recent vs 43.5 overall efficiency,Immediately increase LMN budget allocation - proven high-volume performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,LIFE,,high_volume_high_efficiency,LIFE shows improving trend: 31.4 recent vs 45.5 overall efficiency,Immediately increase LIFE budget allocation - proven high-volume performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,1,High,TLC,,high_volume_high_efficiency,TLC shows improving trend: 31.4 recent vs 42.0 overall efficiency,Immediately increase TLC budget allocation - proven high-volume performer,scale_immediately,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,WE,,improving_trend,WE shows improving trend: 31.4 recent vs 21.8 overall efficiency,Monitor WE closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,AEN,,improving_trend,AEN shows improving trend: 31.4 recent vs 34.3 overall efficiency,Monitor AEN closely and prepare to scale - building momentum,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,OXY,,improving_trend,OXY shows improving trend: 31.4 recent vs 35.3 overall efficiency,Monitor OXY closely and prepare to scale - building momentum,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,SUNDA,,improving_trend,SUNDA shows improving trend: 31.4 recent vs 33.9 overall efficiency,Monitor SUNDA closely and prepare to scale - building momentum,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,GAME,,improving_trend,GAME shows improving trend: 31.4 recent vs 20.7 overall efficiency,Monitor GAME closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,TBS,,improving_trend,TBS shows improving trend: 31.4 recent vs 11.3 overall efficiency,Monitor TBS closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,AMC,,improving_trend,AMC shows improving trend: 31.4 recent vs 12.7 overall efficiency,Monitor AMC closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,IDISC,,improving_trend,IDISC shows improving trend: 31.4 recent vs 10.0 overall efficiency,Monitor IDISC closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,USA,,improving_trend,USA shows improving trend: 31.4 recent vs 11.4 overall efficiency,Monitor USA closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,HALL,,improving_trend,HALL shows improving trend: 31.4 recent vs 8.6 overall efficiency,Monitor HALL closely and prepare to scale - building momentum,monitor_closely,High,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,TNT,,improving_trend,TNT shows improving trend: 31.4 recent vs 8.5 overall efficiency,Monitor TNT closely and prepare to scale - building momentum,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,station_analysis,station_optimization,2,High,BRAV,,improving_trend,BRAV shows improving trend: 31.4 recent vs 6.7 overall efficiency,Monitor BRAV closely and prepare to scale - building momentum,monitor_closely,Medium,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,1,High,,WK,prime_time_efficiency,WK daypart excellent - trending up: 46.5 visits per spot,Increase WK inventory immediately - top efficiency window,scale_immediately,High,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,1,High,,DA,prime_time_efficiency,DA daypart excellent - trending up: 43.7 visits per spot,Increase DA inventory immediately - top efficiency window,scale_immediately,High,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,1,High,,EF,prime_time_efficiency,EF daypart excellent - trending up: 43.4 visits per spot,Increase EF inventory immediately - top efficiency window,scale_immediately,High,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,2,Medium,,EM,strong_efficiency,EM daypart good - trending up: 39.8 visits per spot,Test increased EM investment - efficiency improving,test_scaling,High,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,1,High,,PR,prime_time_efficiency,PR daypart fair - trending up: 34.0 visits per spot,Increase PR inventory immediately - top efficiency window,scale_immediately,High,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,3,Medium,,ON,average_efficiency,ON daypart poor - trending up: 9.9 visits per spot,Monitor ON performance and maintain current allocation,monitor,High,improving,yes,2025-06-30
OPOS,daypart_analysis,daypart_optimization,3,Medium,,LF,average_efficiency,LF daypart poor - trending up: 6.0 visits per spot,Monitor LF performance and maintain current allocation,monitor,Medium,improving,yes,2025-06-30
OPOS,combination_analysis,combination_optimization,3,High,LMN,WK,golden_combination,LMN + WK achieves Golden Combination status: 46.5 visits per spot with 1.4x synergy,Monitor LMN + WK performance and optimize as needed,scale_immediately,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,High,LMN,EF,golden_combination,LMN + EF achieves Golden Combination status: 46.2 visits per spot with 1.4x synergy,Monitor LMN + EF performance and optimize as needed,scale_immediately,Medium,combination_synergy,no,2025-06-30
